Time,Voltage 
0.248,-0.1385
0.25,-0.131
0.252,-0.129
0.254,-0.1245
0.256,-0.131
0.258,-0.138
0.26,-0.149
0.262,-0.1475
0.264,-0.1495
0.266,-0.146
0.268,-0.1455
0.27,-0.1325
0.272,-0.124
0.274,-0.127
0.276,-0.126
0.278,-0.1315
0.28,-0.1455
0.282,-0.1375
0.284,-0.147
0.286,-0.139
0.288,-0.1345
0.29,-0.132
0.292,-0.1255
0.294,-0.125
0.296,-0.1315
0.298,-0.134
0.3,-0.144
0.302,-0.148
0.304,-0.157
0.306,-0.143
0.308,-0.151
0.31,-0.1425
0.312,-0.1355
0.314,-0.133
0.316,-0.129
0.318,-0.143
0.32,-0.149
0.322,-0.149
0.324,-0.1575
0.326,-0.148
0.328,-0.143
0.33,-0.1415
0.332,-0.131
0.334,-0.1265
0.336,-0.138
0.338,-0.145
0.34,-0.147
0.342,-0.1615
0.344,-0.1575
0.346,-0.1625
0.348,-0.1505
0.35,-0.15
0.352,-0.1395
0.354,-0.144
0.356,-0.141
0.358,-0.151
0.36,-0.157
0.362,-0.1595
0.364,-0.1645
0.366,-0.159
0.368,-0.1555
0.37,-0.1525
0.372,-0.1445
0.374,-0.1455
0.376,-0.149
0.378,-0.1635
0.38,-0.1575
0.382,-0.17
0.384,-0.175
0.386,-0.169
0.388,-0.163
0.39,-0.154
0.392,-0.149
0.394,-0.152
0.396,-0.157
0.398,-0.1565
0.4,-0.166
0.402,-0.167
0.404,-0.174
0.406,-0.168
0.408,-0.1635
0.41,-0.159
0.412,-0.1445
0.414,-0.1475
0.416,-0.1535
0.418,-0.164
0.42,-0.1675
0.422,-0.1705
0.424,-0.1665
0.426,-0.1665
0.428,-0.1655
0.43,-0.1595
0.432,-0.1555
0.434,-0.1555
0.436,-0.155
0.438,-0.161
0.44,-0.1685
0.442,-0.1835
0.444,-0.186
0.446,-0.181
0.448,-0.17
0.45,-0.138
0.452,-0.1355
0.454,-0.121
0.456,-0.1295
0.458,-0.13
0.46,-0.1365
0.462,-0.145
0.464,-0.1615
0.466,-0.1795
0.468,-0.201
0.47,-0.185
0.472,-0.173
0.474,-0.1645
0.476,-0.1785
0.478,-0.1995
0.48,-0.206
0.482,-0.2355
0.484,-0.2285
0.486,-0.225
0.488,-0.2305
0.49,-0.238
0.492,-0.258
0.494,-0.281
0.496,-0.2835
0.498,-0.289
0.5,-0.282
0.502,-0.287
0.504,-0.2945
0.506,-0.2785
0.508,-0.2625
0.51,-0.2505
0.512,-0.253
0.514,-0.2365
0.516,-0.2385
0.518,-0.2235
0.52,-0.215
0.522,-0.196
0.524,-0.192
0.526,-0.178
0.528,-0.1795
0.53,-0.1675
0.532,-0.166
0.534,-0.1625
0.536,-0.1505
0.538,-0.1545
0.54,-0.1645
0.542,-0.1675
0.544,-0.173
0.546,-0.161
0.548,-0.1615
0.55,-0.145
0.552,-0.143
0.554,-0.1305
0.556,-0.1385
0.558,-0.1335
0.56,-0.1395
0.562,-0.1325
0.564,-0.1135
0.566,-0.0825
0.568,-0.0445
0.57,0.014
0.572,0.056
0.574,0.108
0.576,0.1235
0.578,0.139
0.58,0.1045
0.582,0.0615
0.584,-0.021
0.586,-0.062
0.588,-0.1155
0.59,-0.1345
0.592,-0.187
0.594,-0.2605
0.596,-0.3325
0.598,-0.3615
0.6,-0.459
0.602,-0.492
0.604,-0.521
0.606,-0.483
0.608,-0.4185
0.61,-0.38
0.612,-0.3025
0.614,-0.2045
0.616,-0.179
0.618,-0.1155
0.62,-0.0035
0.622,0.078
0.624,0.1335
0.626,0.221
0.628,0.2605
0.63,0.2375
0.632,0.1445
0.634,0.1345
0.636,0.0785
0.638,0.089
0.64,0.0925
0.642,0.0995
0.644,0.0935
0.646,0.092
0.648,0.084
0.65,0.0405
0.652,0.0135
0.654,-0.0055
0.656,-0.0215
0.658,-0.041
0.66,-0.046
0.662,-0.0525
0.664,-0.064
0.666,-0.066
0.668,-0.062
0.67,-0.0565
0.672,-0.057
0.674,-0.0545
0.676,-0.0665
0.678,-0.069
0.68,-0.079
0.682,-0.0775
0.684,-0.0865
0.686,-0.089
0.688,-0.076
0.69,-0.075
0.692,-0.073
0.694,-0.071
0.696,-0.0735
0.698,-0.084
0.7,-0.09
0.702,-0.0905
0.704,-0.092
0.706,-0.0865
0.708,-0.0835
0.71,-0.076
0.712,-0.0685
0.714,-0.0725
0.716,-0.074
0.718,-0.086
0.72,-0.0935
0.722,-0.097
0.724,-0.1065
0.726,-0.093
0.728,-0.0895
0.73,-0.089
0.732,-0.0875
0.734,-0.078
0.736,-0.078
0.738,-0.0865
0.74,-0.0925
0.742,-0.1
0.744,-0.0995
0.746,-0.1
0.748,-0.0975
0.75,-0.087
0.752,-0.0845
0.754,-0.079
0.756,-0.0835
0.758,-0.0885
0.76,-0.1015
0.762,-0.103
0.764,-0.1065
0.766,-0.0965
0.768,-0.0955
0.77,-0.0895
0.772,-0.0855
0.774,-0.084
0.776,-0.095
0.778,-0.0935
0.78,-0.1045
0.782,-0.1105
0.784,-0.1155
0.786,-0.112
0.788,-0.11
0.79,-0.1005
0.792,-0.099
0.794,-0.104
0.796,-0.1005
0.798,-0.1095
0.8,-0.1165
0.802,-0.12
0.804,-0.121
0.806,-0.119
0.808,-0.113
0.81,-0.106
0.812,-0.1095
0.814,-0.1025
0.816,-0.1075
0.818,-0.1115
0.82,-0.119
0.822,-0.124
0.824,-0.1345
0.826,-0.1295
0.828,-0.127
0.83,-0.1175
0.832,-0.106
0.834,-0.107
0.836,-0.1185
0.838,-0.1185
0.84,-0.1265
0.842,-0.1215
0.844,-0.126
0.846,-0.1245
0.848,-0.1225
0.85,-0.11
0.852,-0.1065
0.854,-0.0995
0.856,-0.1115
0.858,-0.11
0.86,-0.1125
0.862,-0.117
0.864,-0.1265
0.866,-0.1125
0.868,-0.1055
0.87,-0.0985
0.872,-0.0965
0.874,-0.087
0.876,-0.0885
0.878,-0.091
0.88,-0.1
0.882,-0.1065
0.884,-0.109
0.886,-0.1055
0.888,-0.0995
0.89,-0.088
0.892,-0.0875
0.894,-0.084
0.896,-0.0845
0.898,-0.101
0.9,-0.1025
0.902,-0.1055
0.904,-0.11
0.906,-0.101
0.908,-0.0995
0.91,-0.0865
0.912,-0.0875
0.914,-0.075
0.916,-0.0845
0.918,-0.084
0.92,-0.093
0.922,-0.093
0.924,-0.097
0.926,-0.0965
0.928,-0.0855
0.93,-0.085
0.932,-0.082
0.934,-0.08
0.936,-0.076
0.938,-0.086
0.94,-0.0895
0.942,-0.0925
0.944,-0.098
0.946,-0.0935
0.948,-0.093
0.95,-0.0765
0.952,-0.076
0.954,-0.0755
0.956,-0.079
0.958,-0.084
0.96,-0.0845
0.962,-0.0945
0.964,-0.098
0.966,-0.0965
0.968,-0.093
0.97,-0.084
0.972,-0.0805
0.974,-0.0825
0.976,-0.0795
0.978,-0.085
0.98,-0.094
0.982,-0.0975
0.984,-0.1045
0.986,-0.0985
0.988,-0.097
0.99,-0.0895
0.992,-0.081
0.994,-0.079
0.996,-0.0825
0.998,-0.0865
1,-0.0995
1.002,-0.094
1.004,-0.101
1.006,-0.0975
1.008,-0.09
1.01,-0.089
1.012,-0.0855
1.014,-0.079
1.016,-0.087
1.018,-0.0965
1.02,-0.1005
1.022,-0.099
1.024,-0.1125
1.026,-0.103
1.028,-0.097
1.03,-0.09
1.032,-0.09
1.034,-0.0855
1.036,-0.086
1.038,-0.0915
1.04,-0.1
1.042,-0.1115
1.044,-0.1135
1.046,-0.1115
1.048,-0.0985
1.05,-0.0965
1.052,-0.0905
1.054,-0.083
1.056,-0.093
1.058,-0.091
1.06,-0.102
1.062,-0.1085
1.064,-0.1105
1.066,-0.1095
1.068,-0.106
1.07,-0.101
1.072,-0.099
1.074,-0.088
1.076,-0.0885
1.078,-0.096
1.08,-0.1005
1.082,-0.108
1.084,-0.111
1.086,-0.109
1.088,-0.1075
1.09,-0.093
1.092,-0.0965
1.094,-0.086
1.096,-0.091
1.098,-0.1015
1.1,-0.1165
1.102,-0.115
1.104,-0.117
1.106,-0.106
1.108,-0.087
1.11,-0.0715
1.112,-0.066
1.114,-0.059
1.116,-0.057
1.118,-0.065
1.12,-0.0735
1.122,-0.096
1.124,-0.132
1.126,-0.139
1.128,-0.1205
1.13,-0.114
1.132,-0.111
1.134,-0.1225
1.136,-0.1335
1.138,-0.1545
1.14,-0.1695
1.142,-0.166
1.144,-0.1845
1.146,-0.19
1.148,-0.1955
1.15,-0.208
1.152,-0.2165
1.154,-0.2115
1.156,-0.2095
1.158,-0.213
1.16,-0.217
1.162,-0.2175
1.164,-0.219
1.166,-0.2085
1.168,-0.201
1.17,-0.1965
1.172,-0.1855
1.174,-0.17
1.176,-0.141
1.178,-0.14
1.18,-0.13
1.182,-0.123
1.184,-0.1245
1.186,-0.126
1.188,-0.1145
1.19,-0.104
1.192,-0.0945
1.194,-0.092
1.196,-0.0905
1.198,-0.094
1.2,-0.1035
1.202,-0.113
1.204,-0.1175
1.206,-0.1125
1.208,-0.1015
1.21,-0.092
1.212,-0.0885
1.214,-0.0795
1.216,-0.075
1.218,-0.0725
1.22,-0.0565
1.222,-0.0415
1.224,-0.005
1.226,0.0355
1.228,0.084
1.23,0.137
1.232,0.179
1.234,0.202
1.236,0.1955
1.238,0.1675
1.24,0.0985
1.242,0.036
1.244,-0.0265
1.246,-0.059
1.248,-0.093
1.25,-0.1355
1.252,-0.254
1.254,-0.295
1.256,-0.345
1.258,-0.405
1.26,-0.4425
1.262,-0.47
1.264,-0.42
1.266,-0.3695
1.268,-0.3255
1.27,-0.2295
1.272,-0.167
1.274,-0.0995
1.276,-0.0175
1.278,0.095
1.28,0.1655
1.282,0.242
1.284,0.2905
1.286,0.2875
1.288,0.18
1.29,0.1635
1.292,0.1295
1.294,0.1275
1.296,0.1465
1.298,0.144
1.3,0.15
1.302,0.143
1.304,0.129
1.306,0.0845
1.308,0.0505
1.31,0.0365
1.312,0.0245
1.314,0.021
1.316,0.02
1.318,0.006
1.32,0.004
1.322,-0.0115
1.324,-0.017
1.326,-0.0195
1.328,-0.0135
1.33,-0.0125
1.332,-0.007
1.334,-0.01
1.336,-0.008
1.338,-0.0205
1.34,-0.0225
1.342,-0.028
1.344,-0.0315
1.346,-0.0335
1.348,-0.0305
1.35,-0.025
1.352,-0.021
1.354,-0.0195
1.356,-0.021
1.358,-0.0285
1.36,-0.033
1.362,-0.039
1.364,-0.0445
1.366,-0.0395
1.368,-0.0355
1.37,-0.0315
1.372,-0.03
1.374,-0.0295
1.376,-0.0275
1.378,-0.0345
1.38,-0.0375
1.382,-0.042
1.384,-0.047
1.386,-0.048
1.388,-0.0415
1.39,-0.0385
1.392,-0.0305
1.394,-0.0245
1.396,-0.0285
1.398,-0.034
1.4,-0.038
1.402,-0.0485
1.404,-0.047
1.406,-0.0505
1.408,-0.047
1.41,-0.0375
1.412,-0.0355
1.414,-0.0325
1.416,-0.034
1.418,-0.04
1.42,-0.0455
1.422,-0.047
1.424,-0.0595
1.426,-0.0565
1.428,-0.05
1.43,-0.0435
1.432,-0.039
1.434,-0.0355
1.436,-0.033
1.438,-0.0415
1.44,-0.0495
1.442,-0.055
1.444,-0.0585
1.446,-0.057
1.448,-0.052
1.45,-0.0525
1.452,-0.046
1.454,-0.044
1.456,-0.0505
1.458,-0.0535
1.46,-0.06
1.462,-0.0695
1.464,-0.0745
1.466,-0.075
1.468,-0.075
1.47,-0.068
1.472,-0.063
1.474,-0.058
1.476,-0.0655
1.478,-0.0725
1.48,-0.076
1.482,-0.0805
1.484,-0.09
1.486,-0.0895
1.488,-0.085
1.49,-0.079
1.492,-0.0765
1.494,-0.073
1.496,-0.0745
1.498,-0.0745
1.5,-0.079
1.502,-0.0845
1.504,-0.091
1.506,-0.089
1.508,-0.0855
1.51,-0.0805
1.512,-0.072
1.514,-0.0685
1.516,-0.069
1.518,-0.075
1.52,-0.0805
1.522,-0.0845
1.524,-0.0885
1.526,-0.09
1.528,-0.0765
1.53,-0.073
1.532,-0.0695
1.534,-0.0645
1.536,-0.066
1.538,-0.0725
1.54,-0.076
1.542,-0.079
1.544,-0.081
1.546,-0.085
1.548,-0.083
1.55,-0.0665
1.552,-0.062
1.554,-0.063
1.556,-0.062
1.558,-0.0705
1.56,-0.0785
1.562,-0.0795
1.564,-0.083
1.566,-0.083
1.568,-0.0775
1.57,-0.074
1.572,-0.065
1.574,-0.0605
1.576,-0.0625
1.578,-0.0725
1.58,-0.073
1.582,-0.0795
1.584,-0.085
1.586,-0.0855
1.588,-0.075
1.59,-0.074
1.592,-0.0655
1.594,-0.0645
1.596,-0.06
1.598,-0.0685
1.6,-0.0765
1.602,-0.082
1.604,-0.0865
1.606,-0.086
1.608,-0.0775
1.61,-0.075
1.612,-0.068
1.614,-0.0675
1.616,-0.0645
1.618,-0.071
1.62,-0.079
1.622,-0.0825
1.624,-0.0855
1.626,-0.0895
1.628,-0.085
1.63,-0.0745
1.632,-0.0755
1.634,-0.0665
1.636,-0.068
1.638,-0.0805
1.64,-0.078
1.642,-0.0855
1.644,-0.0885
1.646,-0.091
1.648,-0.085
1.65,-0.0795
1.652,-0.0805
1.654,-0.0755
1.656,-0.07
1.658,-0.082
1.66,-0.0825
1.662,-0.09
1.664,-0.093
1.666,-0.0965
1.668,-0.09
1.67,-0.084
1.672,-0.0835
1.674,-0.0775
1.676,-0.078
1.678,-0.084
1.68,-0.0895
1.682,-0.0995
1.684,-0.098
1.686,-0.1025
1.688,-0.0935
1.69,-0.091
1.692,-0.0835
1.694,-0.082
1.696,-0.079
1.698,-0.09
1.7,-0.093
1.702,-0.1
1.704,-0.098
1.706,-0.1045
1.708,-0.096
1.71,-0.0915
1.712,-0.089
1.714,-0.083
1.716,-0.0825
1.718,-0.091
1.72,-0.093
1.722,-0.1025
1.724,-0.1
1.726,-0.1035
1.728,-0.0955
1.73,-0.0915
1.732,-0.0915
1.734,-0.0855
1.736,-0.0865
1.738,-0.092
1.74,-0.095
1.742,-0.103
1.744,-0.1055
1.746,-0.109
1.748,-0.0965
1.75,-0.095
1.752,-0.0855
1.754,-0.0845
1.756,-0.079
1.758,-0.099
1.76,-0.103
1.762,-0.1045
1.764,-0.1025
1.766,-0.087
1.768,-0.0765
1.77,-0.0655
1.772,-0.063
1.774,-0.055
1.776,-0.0495
1.778,-0.061
1.78,-0.0825
1.782,-0.1135
1.784,-0.138
1.786,-0.1275
1.788,-0.111
1.79,-0.1065
1.792,-0.1195
1.794,-0.1265
1.796,-0.135
1.798,-0.155
1.8,-0.15
1.802,-0.17
1.804,-0.1845
1.806,-0.1985
1.808,-0.2105
1.81,-0.2225
1.812,-0.2115
1.814,-0.2035
1.816,-0.1935
1.818,-0.2045
1.82,-0.212
1.822,-0.211
1.824,-0.2075
1.826,-0.212
1.828,-0.2025
1.83,-0.1925
1.832,-0.1725
1.834,-0.1465
1.836,-0.1285
1.838,-0.1285
1.84,-0.122
1.842,-0.118
1.844,-0.1215
1.846,-0.1215
1.848,-0.1065
1.85,-0.0985
1.852,-0.0935
1.854,-0.09
1.856,-0.0815
1.858,-0.0905
1.86,-0.0935
1.862,-0.101
1.864,-0.1055
1.866,-0.102
1.868,-0.0935
1.87,-0.0915
1.872,-0.081
1.874,-0.0705
1.876,-0.0645
1.878,-0.06
1.88,-0.041
1.882,-0.0215
1.884,0.0175
1.886,0.0595
1.888,0.112
1.89,0.152
1.892,0.187
1.894,0.201
1.896,0.19
1.898,0.142
1.9,0.071
1.902,0.0185
1.904,-0.0475
1.906,-0.0605
1.908,-0.103
1.91,-0.178
1.912,-0.266
1.914,-0.295
1.916,-0.36
1.918,-0.3975
1.92,-0.44
1.922,-0.428
1.924,-0.3985
1.926,-0.3625
1.928,-0.28
1.93,-0.1905
1.932,-0.1095
1.934,-0.038
1.936,0.0905
1.938,0.1595
1.94,0.236
1.942,0.2845
1.944,0.296
1.946,0.1855
1.948,0.1315
1.95,0.1085
1.952,0.094
1.954,0.1245
1.956,0.133
1.958,0.1385
1.96,0.136
1.962,0.1245
1.964,0.083
1.966,0.047
1.968,0.0315
1.97,0.0155
1.972,0.013
1.974,0.018
1.976,0.012
1.978,0.0025
1.98,-0.003
1.982,-0.0095
1.984,-0.015
1.986,-0.022
1.988,-0.0205
1.99,-0.0145
1.992,-0.0105
1.994,-0.009
1.996,-0.01
1.998,-0.017
2,-0.0265
2.002,-0.03
2.004,-0.037
2.006,-0.042
2.008,-0.0375
2.01,-0.0315
2.012,-0.027
2.014,-0.022
2.016,-0.0185
2.018,-0.0285
2.02,-0.032
2.022,-0.046
2.024,-0.0425
2.026,-0.049
2.028,-0.0385
2.03,-0.039
2.032,-0.0335
2.034,-0.0325
2.036,-0.0265
2.038,-0.035
2.04,-0.0395
2.042,-0.045
2.044,-0.05
2.046,-0.051
2.048,-0.043
2.05,-0.039
2.052,-0.0325
2.054,-0.029
2.056,-0.028
2.058,-0.036
2.06,-0.0405
2.062,-0.0495
2.064,-0.05
2.066,-0.054
2.068,-0.055
2.07,-0.047
2.072,-0.0415
2.074,-0.0365
2.076,-0.034
2.078,-0.0495
2.08,-0.043
2.082,-0.055
2.084,-0.0575
2.086,-0.061
2.088,-0.0535
2.09,-0.051
2.092,-0.046
2.094,-0.0455
2.096,-0.044
2.098,-0.055
2.1,-0.0535
2.102,-0.062
2.104,-0.0635
2.106,-0.068
2.108,-0.063
2.11,-0.0625
2.112,-0.054
2.114,-0.058
2.116,-0.049
2.118,-0.057
2.12,-0.0675
2.122,-0.0725
2.124,-0.079
2.126,-0.0855
2.128,-0.0795
2.13,-0.0775
2.132,-0.0705
2.134,-0.068
2.136,-0.0655
2.138,-0.074
2.14,-0.079
2.142,-0.093
2.144,-0.0945
2.146,-0.095
2.148,-0.093
2.15,-0.0895
2.152,-0.084
2.154,-0.08
2.156,-0.0795
2.158,-0.088
2.16,-0.092
2.162,-0.0975
2.164,-0.0985
2.166,-0.103
2.168,-0.094
2.17,-0.0935
2.172,-0.0885
2.174,-0.0775
2.176,-0.0785
2.178,-0.089
2.18,-0.088
2.182,-0.096
2.184,-0.096
2.186,-0.102
2.188,-0.0915
2.19,-0.0865
2.192,-0.0855
2.194,-0.073
2.196,-0.072
2.198,-0.0745
2.2,-0.077
2.202,-0.083
2.204,-0.0825
2.206,-0.087
2.208,-0.08
2.21,-0.075
2.212,-0.076
2.214,-0.058
2.216,-0.061
2.218,-0.073
2.22,-0.07
2.222,-0.079
2.224,-0.086
2.226,-0.091
2.228,-0.079
2.23,-0.076
2.232,-0.0705
2.234,-0.069
2.236,-0.063
2.238,-0.0675
2.24,-0.072
2.242,-0.0865
2.244,-0.083
2.246,-0.0815
2.248,-0.077
2.25,-0.075
2.252,-0.0665
2.254,-0.0635
2.256,-0.061
2.258,-0.074
2.26,-0.071
2.262,-0.078
2.264,-0.0815
2.266,-0.086
2.268,-0.078
2.27,-0.0765
2.272,-0.0615
2.274,-0.0625
2.276,-0.057
2.278,-0.0625
2.28,-0.068
2.282,-0.0805
2.284,-0.0755
2.286,-0.0855
2.288,-0.0755
2.29,-0.0715
2.292,-0.07
2.294,-0.063
2.296,-0.063
2.298,-0.0715
2.3,-0.0755
2.302,-0.0825
2.304,-0.088
2.306,-0.085
2.308,-0.088
2.31,-0.08
2.312,-0.0775
2.314,-0.078
2.316,-0.0705
2.318,-0.0735
2.32,-0.086
2.322,-0.086
2.324,-0.09
2.326,-0.089
2.328,-0.0875
2.33,-0.0755
2.332,-0.077
2.334,-0.0705
2.336,-0.0675
2.338,-0.08
2.34,-0.082
2.342,-0.0845
2.344,-0.0885
2.346,-0.094
2.348,-0.0905
2.35,-0.0785
2.352,-0.0735
2.354,-0.0735
2.356,-0.0715
2.358,-0.0725
2.36,-0.0785
2.362,-0.088
2.364,-0.089
2.366,-0.0995
2.368,-0.089
2.37,-0.083
2.372,-0.078
2.374,-0.08
2.376,-0.0755
2.378,-0.081
2.38,-0.0895
2.382,-0.0955
2.384,-0.0985
2.386,-0.1035
2.388,-0.0925
2.39,-0.089
2.392,-0.085
2.394,-0.085
2.396,-0.0685
2.398,-0.0805
2.4,-0.0895
2.402,-0.0875
2.404,-0.089
2.406,-0.0955
2.408,-0.0925
2.41,-0.085
2.412,-0.0735
2.414,-0.077
2.416,-0.07
2.418,-0.0755
2.42,-0.0845
2.422,-0.089
2.424,-0.0945
2.426,-0.1085
2.428,-0.099
2.43,-0.0905
2.432,-0.0675
2.434,-0.057
2.436,-0.047
2.438,-0.0545
2.44,-0.0535
2.442,-0.06
2.444,-0.06
2.446,-0.0795
2.448,-0.095
2.45,-0.113
2.452,-0.1035
2.454,-0.091
2.456,-0.0885
2.458,-0.1025
2.46,-0.1265
2.462,-0.149
2.464,-0.1625
2.466,-0.1505
2.468,-0.1545
2.47,-0.165
2.472,-0.171
2.474,-0.179
2.476,-0.193
2.478,-0.201
2.48,-0.197
2.482,-0.2085
2.484,-0.201
2.486,-0.2075
2.488,-0.202
2.49,-0.1865
2.492,-0.18
2.494,-0.1785
2.496,-0.1695
2.498,-0.1675
2.5,-0.147
2.502,-0.1335
2.504,-0.124
2.506,-0.118
2.508,-0.102
2.51,-0.102
2.512,-0.085
2.514,-0.084
2.516,-0.0745
2.518,-0.0825
2.52,-0.0865
2.522,-0.0925
2.524,-0.0905
2.526,-0.0995
2.528,-0.088
2.53,-0.0845
2.532,-0.079
2.534,-0.071
2.536,-0.0665
2.538,-0.0695
2.54,-0.074
2.542,-0.0765
2.544,-0.0605
2.546,-0.044
2.548,-0.0095
2.55,0.035
2.552,0.082
2.554,0.137
2.556,0.1705
2.558,0.205
2.56,0.214
2.562,0.182
2.564,0.145
2.566,0.07
2.568,0.024
2.57,-0.03
2.572,-0.042
2.574,-0.0935
2.576,-0.1555
2.578,-0.262
2.58,-0.285
2.582,-0.385
2.584,-0.422
2.586,-0.462
2.588,-0.441
2.59,-0.3835
2.592,-0.341
2.594,-0.2675
2.596,-0.1565
2.598,-0.1275
2.6,-0.0685
2.602,0.041
2.604,0.135
2.606,0.201
2.608,0.2835
2.61,0.3225
2.612,0.2825
2.614,0.1895
2.616,0.181
2.618,0.127
2.62,0.137
2.622,0.14
2.624,0.143
2.626,0.14
2.628,0.1485
2.63,0.139
2.632,0.1045
2.634,0.0745
2.636,0.057
2.638,0.038
2.64,0.0255
2.642,0.0145
2.644,0.0025
2.646,-0.003
2.648,-0.0055
2.65,-0.0065
2.652,0.009
2.654,0.0075
2.656,0.0055
2.658,0.0005
2.66,-0.0085
2.662,-0.014
2.664,-0.023
2.666,-0.027
2.668,-0.019
2.67,-0.019
2.672,-0.0145
2.674,-0.012
2.676,-0.0105
2.678,-0.014
2.68,-0.02
2.682,-0.032
2.684,-0.0255
2.686,-0.0345
2.688,-0.03
2.69,-0.0265
2.692,-0.0195
2.694,-0.017
2.696,-0.0145
2.698,-0.021
2.7,-0.0225
2.702,-0.038
2.704,-0.034
2.706,-0.038
2.708,-0.031
2.71,-0.034
2.712,-0.02
2.714,-0.0245
2.716,-0.02
2.718,-0.023
2.72,-0.031
2.722,-0.04
2.724,-0.0485
2.726,-0.044
2.728,-0.04
2.73,-0.042
2.732,-0.0255
2.734,-0.0305
2.736,-0.023
2.738,-0.029
2.74,-0.036
2.742,-0.0495
2.744,-0.044
2.746,-0.0545
2.748,-0.047
2.75,-0.0405
2.752,-0.0345
2.754,-0.0345
2.756,-0.0295
2.758,-0.033
2.76,-0.036
2.762,-0.0485
2.764,-0.055
2.766,-0.0575
2.768,-0.055
2.77,-0.041
2.772,-0.043
2.774,-0.0445
2.776,-0.035
2.778,-0.06
2.78,-0.044
2.782,-0.069
2.784,-0.0655
2.786,-0.066
2.788,-0.071
2.79,-0.065
2.792,-0.057
2.794,-0.0625
2.796,-0.056
2.798,-0.052
2.8,-0.063
2.802,-0.0745
2.804,-0.0725
2.806,-0.0775
2.808,-0.077
2.81,-0.074
2.812,-0.0675
2.814,-0.07
2.816,-0.0625
2.818,-0.075
2.82,-0.0665
2.822,-0.08
2.824,-0.0805
2.826,-0.081
2.828,-0.083
2.83,-0.079
2.832,-0.067
2.834,-0.0665
2.836,-0.06
2.838,-0.0655
2.84,-0.07
2.842,-0.08
2.844,-0.068
2.846,-0.0795
2.848,-0.075
2.85,-0.0665
2.852,-0.0645
2.854,-0.0495
2.856,-0.046
2.858,-0.049
2.86,-0.053
2.862,-0.0575
2.864,-0.06
2.866,-0.064
2.868,-0.06
2.87,-0.0515
2.872,-0.0475
2.874,-0.057
2.876,-0.0365
2.878,-0.0465
2.88,-0.0535
2.882,-0.063
2.884,-0.062
2.886,-0.0695
2.888,-0.063
2.89,-0.054
2.892,-0.051
2.894,-0.0515
2.896,-0.0355
2.898,-0.04
2.9,-0.0475
2.902,-0.0565
2.904,-0.054
2.906,-0.0625
2.908,-0.0575
2.91,-0.052
2.912,-0.039
2.914,-0.038
2.916,-0.0315
2.918,-0.0405
2.92,-0.053
2.922,-0.056
2.924,-0.0575
2.926,-0.0635
2.928,-0.052
2.93,-0.056
2.932,-0.0495
2.934,-0.0475
2.936,-0.0365
2.938,-0.044
2.94,-0.043
2.942,-0.053
2.944,-0.061
2.946,-0.062
2.948,-0.055
2.95,-0.0535
2.952,-0.052
2.954,-0.0395
2.956,-0.0405
2.958,-0.042
2.96,-0.0545
2.962,-0.06
2.964,-0.066
2.966,-0.0645
2.968,-0.0585
2.97,-0.0585
